step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
123469824,61019.5,-0.003528,1.450183,0.000379,-0.435547,0.0,0.1371,-3.5137,0.021004,0.009447,0.013434,0.432572,1.146132
124256256,61108.2,0.000951,1.108288,0.000348,-0.398438,0.0,0.1393,-3.4834,0.017209,0.009493,0.01252,0.449662,1.164461
125042688,61202.2,-0.001484,1.059486,0.00035,-0.390625,0.0,0.1413,-3.4523,0.011342,0.009223,0.010216,0.455413,1.116136
125829120,61072.3,-0.006719,1.249548,0.00036,-0.388672,0.0,0.1428,-3.4272,0.012845,0.012251,0.010728,0.523572,1.053108
126615552,61168.5,-0.000368,1.242054,0.000389,-0.511719,0.0,0.1433,-3.406,0.013331,0.011148,0.013052,0.423248,1.169709
127401984,61254.3,-0.005305,1.217832,0.000355,-0.451172,0.0,0.1443,-3.3758,0.012432,0.01026,0.010989,0.444447,1.130476
128188416,61332.7,-0.000347,1.153922,0.000357,-0.371094,0.0,0.1452,-3.3413,0.010853,0.00796,0.008683,0.45168,1.159441
128974848,61236.9,0.000212,1.01174,0.000359,-0.382812,0.0,0.1455,-3.309,0.016361,0.009888,0.009814,0.44478,1.125734
129761280,61317.9,2.1e-05,1.045016,0.000345,-0.361328,0.0,0.1449,-3.2789,0.009812,0.0065,0.006258,0.454762,1.055801
130547712,61392.6,-0.001662,1.117119,0.000347,-0.373047,0.0,0.1443,-3.2487,0.008544,0.006269,0.004834,0.47623,1.096881
131334144,61479.0,0.004024,1.191379,0.000356,-0.382812,0.0,0.1438,-3.2299,0.008273,0.005594,0.005238,0.392537,1.18071
132120576,61355.9,0.00017,1.145926,0.000364,-0.367188,0.0,0.1443,-3.1902,0.014366,0.012541,0.012981,0.407953,1.164325
132907008,61440.7,0.004053,0.991129,0.00034,-0.365234,0.0,0.1459,-3.1539,0.013568,0.009151,0.00826,0.386623,1.135074
133693440,61526.3,-8.1e-05,0.961085,0.000339,-0.361328,0.0,0.1479,-3.1142,0.008261,0.006556,0.00653,0.416094,1.099061
134479872,61444.0,3.5e-05,1.070138,0.00036,-0.353516,0.0,0.1496,-3.0794,0.014136,0.009701,0.009554,0.467816,1.128238
135266304,61511.8,0.00191,0.998545,0.000354,-0.382812,0.0,0.1499,-3.057,0.007085,0.006108,0.005326,0.376899,1.20034
136052736,61577.8,-0.002018,1.063875,0.000351,-0.392578,0.0,0.1499,-3.0278,0.010517,0.005591,0.004974,0.415744,1.175505
136839168,61658.3,-0.006124,1.003135,0.000356,-0.447266,0.0,0.1502,-2.9963,0.022114,0.014458,0.011629,0.440807,1.227967
137625600,61566.2,-0.007045,0.993713,0.000334,-0.429688,0.0,0.1505,-2.9628,0.011661,0.010041,0.009047,0.4451,1.000402
138412032,61630.4,0.004472,1.010949,0.000321,-0.396484,0.0,0.1516,-2.9259,0.012393,0.010169,0.010281,0.494102,1.009787
139198464,61700.6,0.000934,0.973966,0.000321,-0.443359,0.0,0.1529,-2.8892,0.009266,0.007444,0.007622,0.471547,1.442374
139984896,61582.7,-0.001172,1.032837,0.000344,-0.427734,0.0,0.1535,-2.8669,0.010822,0.008239,0.00825,0.414324,1.202453
140771328,61647.3,0.004402,1.117144,0.000355,-0.390625,0.0,0.1525,-2.8497,0.010391,0.007504,0.008512,0.425525,1.052565
141557760,61717.6,-0.003261,0.976682,0.000339,-0.371094,0.0,0.1514,-2.8303,0.020785,0.005882,0.006958,0.42574,1.056471
142344192,61776.0,0.00027,0.904667,0.000353,-0.394531,0.0,0.1507,-2.8127,0.012609,0.006246,0.007403,0.461118,1.141528
143130624,61697.1,0.001567,0.96238,0.000328,-0.40625,0.0,0.1528,-2.7768,0.011736,0.005509,0.005774,0.417506,1.391205
143917056,61767.4,0.005011,0.937119,0.000324,-0.476562,0.0,0.1554,-2.7477,0.009871,0.009196,0.007887,0.385429,1.051
144703488,61845.2,-0.004477,0.947724,0.000319,-0.46875,0.0,0.1595,-2.702,0.007276,0.006351,0.006184,0.407997,1.038494
145489920,61775.4,-0.000587,0.944936,0.000324,-0.390625,0.0,0.164,-2.6569,0.011841,0.007611,0.007649,0.463715,1.005819
146276352,61850.4,-0.004337,0.882741,0.000329,-0.382812,0.0,0.1677,-2.6182,0.019282,0.008836,0.008466,0.463714,1.019996
147062784,61925.5,-0.003998,0.920945,0.000341,-0.349609,0.0,0.1713,-2.5841,0.012175,0.00829,0.008072,0.483632,1.02533
147849216,61987.2,-0.003459,0.845541,0.000329,-0.382812,0.0,0.1734,-2.5603,0.009893,0.009286,0.008151,0.36767,1.197983
148635648,61908.0,0.001102,0.952947,0.000344,-0.396484,0.0,0.1757,-2.5264,0.011038,0.008058,0.008754,0.381324,1.101368
149422080,61968.9,0.002745,0.909133,0.000324,-0.419922,0.0,0.1774,-2.4946,0.011735,0.008842,0.00761,0.381979,1.052449
150208512,62029.1,0.006511,1.048921,0.000323,-0.496094,0.0,0.1795,-2.462,0.013338,0.00827,0.00818,0.422999,0.986474
150994944,61978.4,0.002185,1.036834,0.000319,-0.394531,0.0,0.1816,-2.4317,0.01031,0.006359,0.008328,0.489861,0.945748
